,Unnamed: 0,Unnamed: 0.1,id,timestamp,tweet_text
0,0,0,1.38808e+18,30-04-2021 10:31,am i mentally ill or is wearing this hair tie that originally didnt belong to me GENUINELY HELPING with my separation anxiety
1,1,1,1.38808e+18,30-04-2021 10:31,Bath Salts are used to treat mental and physical health ailments It is believed to provide several health benefits for people with muscle pain and stiffness stiff aching joints arthritis circulation problems headache anxiety amp stress skin allergies dry and itchy skin
2,2,2,1.38808e+18,30-04-2021 10:30,Insomnia and Anxiety really pulled up and beat my ass tonight
3,3,3,1.38808e+18,30-04-2021 10:30,hab leider n social anxiety
4,4,4,1.38808e+18,30-04-2021 10:30,I go to the tip yesterday after my jolly to IKEA to get the newly arrived stock of the wardrobe Flo needs to stop living in a cesspit I need to sort this as its messing with her head which in turn makes my anxiety  worse Anyway as Im dumping my rubbish a chap is
5,5,5,1.38808e+18,30-04-2021 10:30,In life it is better to change worry into thinking and anxiety into creative action Rather than sitting and worrying do something anything Worrying is a waste of time
6,6,6,1.38808e+18,30-04-2021 10:30,I woke up with terrible anxiety  and have an hr to go before Im at the airport
7,7,7,1.38808e+18,30-04-2021 10:30,Dont worry Ill be fine today Its TOMORROW I have to worry about I have to help a friend move work with people who trigger my anxiety and drive a large vehicle across two counties on a rather busy day So Im rather nervous af about it 
8,8,8,1.38808e+18,30-04-2021 10:30,my anxiety went 
9,9,9,1.38808e+18,30-04-2021 10:30,My heart beats fast  of the dayfor a whole week every month Yeah anxiety  uma cena
10,10,10,1.38808e+18,30-04-2021 10:30,I have not been present recently I am off work with high functioning anxiety stress and depression me Mr Wellbeing  If ever there was a lesson to be learnt is that these things can affect ANYONE and creep up on you The organisationsupervisors have been brilliant 
11,11,11,1.38808e+18,30-04-2021 10:30,Simple advice Signs of anxiety include sleep disturbance headaches digestive issues nervousness and irritability and feeling overwhelmed joined to explain more The on Health brought to you by
12,12,12,1.38808e+18,30-04-2021 10:30,High anxiety Worlds longest pedestrian suspension bridge opens in Portugal
13,13,13,1.38808e+18,30-04-2021 10:30,Shout out to those with anxiety who are struggling to adjust to major life changes that are happening You are valid and we will get through this
14,14,14,1.38808e+18,30-04-2021 10:30,ltlt lol kene diagnose anxiety
15,15,15,1.38808e+18,30-04-2021 10:30,As a kid back in the day I had math anxiety It wasnt common for girls to be steered away from the topic of numbers and anything related As an adult I realize this fear of math doesnt have to occur Heres whygt math education
16,16,16,1.38808e+18,30-04-2021 10:30,If you are feeling anxiety or struggling in any way you can use the resources on our website or contact your welfare leaders welfare support covid teamboulton ark
17,17,17,1.38808e+18,30-04-2021 10:30,its just your anxiety they deserve it
18,18,18,1.38808e+18,30-04-2021 10:30,Anxiety
19,19,19,1.38808e+18,30-04-2021 10:30,Being a Certified Autism Resource  a pair of goggles can make enjoying the pool more accessible for all These tinted goggles can help to reduce anxiety in children with autism  Online Store 
20,20,20,1.38808e+18,30-04-2021 10:30,literally who wouldnt wanna earn money by promoting some seal pillow just for saying why does no one talk about how depression and anxiety gives you major memory loss
21,21,21,1.38808e+18,30-04-2021 10:30,nooo i haaate balloons this gives me so much anxiety
22,22,22,1.38808e+18,30-04-2021 10:30,Anxiety Tonight is the night i die Youll be fine Didnt want to set Hot Tub here because listened too much 
23,23,23,1.38808e+18,30-04-2021 10:30,Yes we just have anxiety 
24,24,24,1.38808e+18,30-04-2021 10:30,The question is wrong the problem is not the speak but the social anxiety abd phobe The decision making role is a social work with enormous levels of conflict and verbal violence and abuse one autist with social phobe cannot work safely in thath situation We need creative
25,25,25,1.38808e+18,30-04-2021 10:29,I couldnt sleep tonight but I figure why not turn this anxiety Bad thoughts and over thoughts into something productive and positive instead of negative
26,26,26,1.38808e+18,30-04-2021 10:29,Not a job but I would be a scarily good can i speak to the manager kind of Karen if I had no conscience and no anxiety
27,27,27,1.38808e+18,30-04-2021 10:29,I love you but please bring Ice and Ish back to the pod my anxiety cant take anymore  hour uncomfortable exchanges
28,28,28,1.38808e+18,30-04-2021 10:29,Im making lunch now so yeah its something weve learned to do its like a coping mechanism when under stress and or when anxiety hits
29,29,29,1.38808e+18,30-04-2021 10:29,Analyzing music makes me think tht most player culture is fearampanxiety of relationshipsampptsd of falling inout of love rather than selfishly craving every walking body Its easier like every on a surface level wo feelin deep than letting ur emotions for person dictate ur mood
30,30,30,1.38808e+18,30-04-2021 10:29,wheres my anxiety war bitches at
31,31,31,1.38808e+18,30-04-2021 10:29,True but small businesses are more vulnerable to the unexpectedMy dad died I sustained a shoulder injury one of my employees suffered with anxiety amp couldnt work to full capacity all in a m period One or two things fine but sometimes events pile up We did pay our team
32,32,32,1.38808e+18,30-04-2021 10:29,Thank you Mixed bit of anxiety but its a dress up party so Im going for a LuckyStar Madonna
33,33,33,1.38808e+18,30-04-2021 10:29,My email triggers the fuck out of my anxiety yet i cant get rid of it
34,34,34,1.38808e+18,30-04-2021 10:29,Care cure and healing what can we all do in these times of anxiety and helplessness COVID caregivers weareallinthistogether WeAreAllCaregivers
35,35,35,1.38808e+18,30-04-2021 10:29,I keep water on me at all times I will not drive unless its in the car It also helps my anxiety sometimes 
36,36,36,1.38808e+18,30-04-2021 10:29,Sometimes my head twitches so quickly from side to side that I feel like I have a feckin concussion afterwards Just anxiety things
37,37,37,1.38808e+18,30-04-2021 10:29,Somedays my anxiety is so bad I dont sleep for days at a time 
38,38,38,1.38808e+18,30-04-2021 10:28,Maybe its the sense of impending climate doom joblessness national corruption anxiety no pastoral care at uni and academic stress Pretty sure those things are all passion killers lol x
39,39,39,1.38808e+18,30-04-2021 10:28,She blocked me Making money from anxiety is disgusting though at least Katie price tits are covered  small mercys
40,40,40,1.38808e+18,30-04-2021 10:28,I have anxiety watch anime and spend most of time on an mmorpg leave me alone ok
41,41,41,1.38808e+18,30-04-2021 10:28,this is giving me anxiety wtf
42,42,42,1.38808e+18,30-04-2021 10:28,I feeeel Anxiety sucks man but i tend to not perceive the works thats already been submitted LOLI hope everything goes well for you though What major are u taking again  and happy iftar 
43,43,43,1.38808e+18,30-04-2021 10:28,Being away from here or at least spending less time on here has its pros amp cons Sense greatly reducing our exposure to a lot of the negative energy on here while simultaneously not feeding into it We noticed our overall mental state is better along with stress and anxiety
44,44,44,1.38808e+18,30-04-2021 10:28,The anxiety in feeling Ugh
