id,timestamp,tweet_text
1.38808E+18,30-04-2021 10:31,"b""am i mentally ill or is wearing this hair tie that originally didn't belong to me GENUINELY HELPING with my separation anxiety"""
1.38808E+18,30-04-2021 10:31,"b'Bath Salts are used to treat mental and physical health ailments. It is  believed to provide several health benefits for people with:\n\n*muscle pain and stiffness\n*stiff, aching joints\n*arthritis\n*circulation problems\n*headache\n*anxiety &amp; stress\n*skin allergies, dry and itchy skin https://t.co/7aDo3fxoyb'"
1.38808E+18,30-04-2021 10:30,b'Insomnia and Anxiety really pulled up and beat my ass tonight'
1.38808E+18,30-04-2021 10:30,b'@NNinchop hab leider n social anxiety :('
1.38808E+18,30-04-2021 10:30,"b'I go to the tip yesterday after my jolly to IKEA to get the newly arrived stock of the wardrobe Flo needs to stop living in a cesspit - I need to sort this as it\xe2\x80\x99s messing with her head which in turn makes my anxiety 100% worse! Anyway, as I\xe2\x80\x99m dumping my rubbish, a chap is https://t.co/Wl0Y1oLfk8'"
1.38808E+18,30-04-2021 10:30,"b'In life it is better to change worry into thinking and anxiety into creative action. Rather than sitting and worrying, do something, anything. Worrying is a waste of time.""'"
1.38808E+18,30-04-2021 10:30,b'I woke up with terrible anxiety \xf0\x9f\xa4\x91\xf0\x9f\xa4\x91\xf0\x9f\xa4\x91 and have an hr to go before I\xe2\x80\x99m at the airport'
1.38808E+18,30-04-2021 10:30,"b""@AmeliaHouchins Don't worry, I'll be fine today.\nIt's TOMORROW I have to worry about.\nI have to help a friend move, work with people who trigger my anxiety, and drive a large vehicle across two counties on a rather busy day.\nSo I'm rather nervous af about it. \xf0\x9f\x98\xac"""
1.38808E+18,30-04-2021 10:30,b'my anxiety went \xf0\x9f\x93\x88\xf0\x9f\x93\x88\xf0\x9f\x93\x88'
1.38808E+18,30-04-2021 10:30,b'My heart beats fast 70% of the day...for a whole week every month\nYeah anxiety \xc3\xa9 uma cena'
1.38808E+18,30-04-2021 10:30,"b'I have not been present recently. I am off work with high functioning anxiety, stress and depression - me \xe2\x80\x9cMr Wellbeing. \xe2\x80\x9c If ever there was a lesson to be learnt is that these things can affect ANYONE and creep up on you. The organisation/supervisors have been brilliant. \xf0\x9f\x87\xac\xf0\x9f\x87\xa7'"
1.38808E+18,30-04-2021 10:30,"b'Simple advice! Signs of anxiety include sleep disturbance, headaches, digestive issues, nervousness and irritability and feeling overwhelmed.\n\n@DrBrianHiggins joined @cooper_m to explain more. The @LstWrd on Health, brought to you by @OesophagealCF\n\nhttps://t.co/eU0w9PES99'"
1.38808E+18,30-04-2021 10:30,"b""High anxiety: World's longest pedestrian suspension bridge opens in Portugal https://t.co/mSNhhCh040"""
1.38808E+18,30-04-2021 10:30,"b'Shout out to those with anxiety, who are struggling to adjust to major life changes that are happening.\nYou are valid and we will get through this.'"
1.38808E+18,30-04-2021 10:30,b'&lt;&lt; lol kene diagnose anxiety.'
1.38808E+18,30-04-2021 10:30,"b""As a kid back in the day, I had math anxiety. It wasn't common for girls to be steered away from the topic of numbers and anything related. As an adult, I realize this fear of math doesn't have to occur. Here's why--&gt;https://t.co/agZRavKieP\n#math #education https://t.co/thP6aIiJMN"""
1.38808E+18,30-04-2021 10:30,"b'If you are feeling #anxiety or struggling in any way, you can use the resources on our website or contact your welfare leaders.\n\nhttps://t.co/3TiAWHahpX\n\n#welfare #support #covid #teamboulton #ark https://t.co/hvf3ok2mCq'"
1.38808E+18,30-04-2021 10:30,"b""it's just your anxiety. they deserve it."""
1.38808E+18,30-04-2021 10:30,b'@ImpteeSpayce Anxiety'
1.38808E+18,30-04-2021 10:30,b'Being a Certified Autism Resource \xe2\x9c\x85 a pair of @FrogglezUK goggles can make enjoying the pool more accessible for all!\n\nThese tinted goggles can help to reduce anxiety in children with autism.\n\n\xf0\x9f\x90\xb8 Online Store \xf0\x9f\x90\xb8\nhttps://t.co/HSvvHVaLa8 https://t.co/JcOaOsdWzb'
1.38808E+18,30-04-2021 10:30,b'literally who wouldn\xe2\x80\x99t wanna earn money by promoting some seal pillow just for saying \xe2\x80\x9cwhy does no one talk about how depression and anxiety gives you major memory loss\xe2\x80\x9d https://t.co/febAdhGV34'
1.38808E+18,30-04-2021 10:30,b'nooo i haaate balloons this gives me so much anxiety https://t.co/eU5Yh5hK0s'
1.38808E+18,30-04-2021 10:30,"b""@adela_345 Anxiety \nTonight is the night i die \nYou'll be fine\n\n(Didnt want to set Hot Tub here because listened too much \xf0\x9f\x98\x85)"""
1.38808E+18,30-04-2021 10:30,b'@MochaNoka Yes we just have anxiety \xf0\x9f\x98\x85'
1.38808E+18,30-04-2021 10:30,"b'@lilririah The question is wrong, the problem is not the speak but the social anxiety abd phobe. The decision making role is a social work with enormous levels of conflict and verbal violence and abuse, one autist with social phobe cannot work safely in thath situation. We need creative'"
1.38808E+18,30-04-2021 10:29,"b""I couldn't sleep tonight but I figure why not turn this anxiety, Bad thoughts, and over thoughts into something productive and positive instead of negative https://t.co/oQXMm26Pwm"""
1.38808E+18,30-04-2021 10:29,"b""Not a job but I would be a scarily good 'can i speak to the manager' kind of Karen if I had no conscience and no anxiety https://t.co/QUneRQUgmF"""
1.38808E+18,30-04-2021 10:29,"b""@JoeBudden I love you but please bring Ice and Ish back to the pod,  my anxiety can't take anymore 3 hour uncomfortable exchanges"""
1.38808E+18,30-04-2021 10:29,"b""I'm making lunch now. so yeah. it's something we've learned to do. it's like a coping mechanism when under stress and or when anxiety hits."""
1.38808E+18,30-04-2021 10:29,b'Analyzing music makes me think tht most player culture is fear&amp;anxiety of relationships&amp;ptsd of falling in/out of love rather than selfishly craving every walking body. Its easier 2like every1 on a surface level w/o feelin deep than letting ur emotions for 1person dictate ur mood'
1.38808E+18,30-04-2021 10:29,b'where\xe2\x80\x99s my anxiety war bitches at https://t.co/qL5yOVJ4Yz'
