id,timestamp,tweet_text
1.39E+18,30-04-2021 21:41,"b'@madamjujujive Yes, just fancied it. It\xe2\x80\x99s blissful!'"
1.39E+18,30-04-2021 21:40,b'Great Relief and Blissful. As Bobde out its Garbage \xf0\x9f\x97\x91 free \xe2\x9c\x8d\xef\xb8\x8f https://t.co/5LqJlayM8H'
1.39E+18,30-04-2021 21:36,b'@Haarish_Shah My parents did register to stand a better chance of getting the vaccines;  though I heard it is not compulsory and you can just walk in and register on the spot..'
1.39E+18,30-04-2021 21:36,"b""Writing a ship I genuinely love has inverted my mood and I'm legit blissful all day. https://t.co/p3oHJqQuKy"""
1.39E+18,30-04-2021 21:35,b'@kumar_isu this might help you https://t.co/YiNWgm6F7X'
1.39E+18,30-04-2021 21:33,"b'@SouthLondonGirl Soothes in a few minutes, blissful relief \xf0\x9f\x98\x85'"
1.39E+18,30-04-2021 21:33,"b'@woodlineki technos eternal torture is being okay. the thing he fears the most is peace. no matter how hard he tries, everything is okay. the wind never blows too hard, the field never wilts. it\xe2\x80\x99s blissful. he hates it.'"
1.39E+18,30-04-2021 21:32,b'@CanadianTCpod Wow. Rude.\nAussie accents are the blissful to mine ears'
1.39E+18,30-04-2021 21:32,"b'12 pulled me today and let me rock, Ramadan been too blissful \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbf\xf0\x9f\xa4\x9e\xf0\x9f\x8f\xbf'"
1.39E+18,30-04-2021 21:32,b'I there now and it\xe2\x80\x99s blissful https://t.co/ttGfEPGkM9'
1.39E+18,30-04-2021 21:27,b'@monipersona blissful'
1.39E+18,30-04-2021 21:26,b'@SuhanaAhmed10 A joy to behold. Being their must have been blissful.'
1.39E+18,30-04-2021 21:25,"b'@micahuetricht Not on any side, but close with a Columbia grad student and it was pretty clear that UAW was shady as hell and paid people around bargaining committee to derail their strike. You acting like all unions are benevolent is just blissful.'"
1.39E+18,30-04-2021 21:19,"b'A blissful sigh escaped her, slender digits coursing through his golden locks. \n\nHer heart could actually explode from happiness. https://t.co/MVfpgiZsp3'"
1.39E+18,30-04-2021 21:17,b'Ignorance really do be blissful https://t.co/nH4w5NS9lL'
1.39E+18,30-04-2021 21:17,b'Comfortable and blissful living at Cates Creek!!! https://t.co/jUWlgpZng6'
1.39E+18,30-04-2021 21:15,"b""@music_blissful Do we need to register for second dose of COVID Vaccine' for 60+ ?"""
1.39E+18,30-04-2021 21:14,b'@huGOGiiirl @itsyaboyari__ @TerryTyco_ I like how her albums tells stories of where she is in that moment of her life. Like \xe2\x80\x9cSweetner\xe2\x80\x9d is an album that always melts my heart cause it\xe2\x80\x99s so blissful and she translates that feeling very well through the album. But I don\xe2\x80\x99t think \xe2\x80\x9cseven rings\xe2\x80\x9d was that creative for ex.'
1.39E+18,30-04-2021 21:13,"b""@NoPoYo503 @findlayassholes I'm not a Trump supporter and I imagine your life must be so blissful with how ignorant you are, lol. Go on about your politics though, chief\xf0\x9f\x98\x85"""
